Company Name,GIC Sector,GIC SubIndustry,GIC Industry,ESG rating
ZK International Group Co Ltd,Materials,Steel,Metals & Mining,0.7688666666666667
Allegheny Technologies Incorporated,Materials,Steel,Metals & Mining,0.7660285714285714
Commercial Metals Company,Materials,Steel,Metals & Mining,0.6322051369863008
Ryerson Holding Corporation,Materials,Steel,Metals & Mining,0.6302916666666666
"Schnitzer Steel Industries, Inc",Materials,Steel,Metals & Mining,0.6042083333333333
"Steel Dynamics, Inc",Materials,Steel,Metals & Mining,0.5648679999999997
"SunCoke Energy, Inc",Materials,Steel,Metals & Mining,0.5337629629629629
"Warrior Met Coal, Inc",Materials,Steel,Metals & Mining,0.5225072289156621
Mechel PAO,Materials,Steel,Metals & Mining,0.4567722222222222
Outokumpu Oyj,Materials,Steel,Metals & Mining,0.4060990909090908
"Worthington Industries, Inc",Materials,Steel,Metals & Mining,0.4036577586206896
Nucor Corporation,Materials,Steel,Metals & Mining,0.3745585996336997
"Olympic Steel, Inc",Materials,Steel,Metals & Mining,0.351
POSCO Holdings Inc,Materials,Steel,Metals & Mining,0.3417142857142857
"Universal Stainless & Alloy Products, Inc",Materials,Steel,Metals & Mining,0.2323666666666666
Aperam S.A,Materials,Steel,Metals & Mining,0.2073818181818181
Nippon Steel Corporation,Materials,Steel,Metals & Mining,0.2056566666666666
Gerdau S.A,Materials,Steel,Metals & Mining,0.202615873
United States Steel Corporation,Materials,Steel,Metals & Mining,0.1966415922619047
"Ramaco Resources, Inc",Materials,Steel,Metals & Mining,0.1860833333333333
ArcelorMittal,Materials,Steel,Metals & Mining,0.1841014397218941
"Acerinox, S.A",Materials,Steel,Metals & Mining,0.1806
Cleveland-Cliffs Inc,Materials,Steel,Metals & Mining,0.1100733333333333
Angang Steel Company Limited,Materials,Steel,Metals & Mining,0.0
Da Ming International Holdings Limited,Materials,Steel,Metals & Mining,0.0
E-Commodities Holdings Limited,Materials,Steel,Metals & Mining,0.0
"Friedman Industries, Incorporated",Materials,Steel,Metals & Mining,0.0
Gaon Group Ltd,Materials,Steel,Metals & Mining,0.0
Henan Jinma Energy Company Limited,Materials,Steel,Metals & Mining,0.0
Maanshan Iron & Steel Company Limited,Materials,Steel,Metals & Mining,0.0
Newton Resources Ltd,Materials,Steel,Metals & Mining,0.0
"Ossen Innovation Co., Ltd",Materials,Steel,Metals & Mining,0.0
Shougang Fushan Resources Group Limited,Materials,Steel,Metals & Mining,0.0
Ternium S.A,Materials,Steel,Metals & Mining,0.0
Vale S.A,Materials,Steel,Metals & Mining,-0.084110735
Carpenter Technology Corporation,Materials,Steel,Metals & Mining,-0.432707143
Reliance Steel & Aluminum Co,Materials,Steel,Metals & Mining,-0.4588
Haynes International Inc,Materials,Steel,Metals & Mining,-0.75045
Ampco-Pittsburgh Corporation,Materials,Steel,Metals & Mining,-0.84195
EcoGreen International Group Limited,Materials,Specialty Chemicals,Chemicals,0.9042
Innospec Inc,Materials,Specialty Chemicals,Chemicals,0.8002
Lightwave Logic Inc,Materials,Specialty Chemicals,Chemicals,0.7948597222222222
Sensient Technologies Corporation,Materials,Specialty Chemicals,Chemicals,0.7397400000000001
Ecolab Inc,Materials,Specialty Chemicals,Chemicals,0.7131951677489164
Rayonier Advanced Materials Inc,Materials,Specialty Chemicals,Chemicals,0.70890162
W. R. Grace & Co,Materials,Specialty Chemicals,Chemicals,0.7018769230769231
Advanced Emissions Solutions Inc,Materials,Specialty Chemicals,Chemicals,0.6317531794871796
"Flotek Industries, Inc",Materials,Specialty Chemicals,Chemicals,0.5691300925925932
Elkem ASA,Materials,Specialty Chemicals,Chemicals,0.5483481981981982
Avient Corp,Materials,Specialty Chemicals,Chemicals,0.5410833333333334
Element Solutions Inc,Materials,Specialty Chemicals,Chemicals,0.5393999999999999
Flexible Solutions International Inc,Materials,Specialty Chemicals,Chemicals,0.5146030303030303
Umicore SA,Materials,Specialty Chemicals,Chemicals,0.4797962121212121
Ingevity Corporation,Materials,Specialty Chemicals,Chemicals,0.4607875724637682
"PPG Industries, Inc",Materials,Specialty Chemicals,Chemicals,0.4478414275956282
Celanese Corporation,Materials,Specialty Chemicals,Chemicals,0.4475915789473685
Minerals Technologies Inc,Materials,Specialty Chemicals,Chemicals,0.4285041666666667
Balchem Corporation,Materials,Specialty Chemicals,Chemicals,0.4201437168141596
Covestro AG,Materials,Specialty Chemicals,Chemicals,0.37304184
RPM International Inc,Materials,Specialty Chemicals,Chemicals,0.3724179487179486
Axalta Coating Systems Ltd,Materials,Specialty Chemicals,Chemicals,0.3540666666666666
H.B. Fuller Company,Materials,Specialty Chemicals,Chemicals,0.3422558558558558
"Amyris, Inc",Materials,Specialty Chemicals,Chemicals,0.3394521090697923
Quaker Chemical Corporation,Materials,Specialty Chemicals,Chemicals,0.3039333333333333
International Flavors & Fragrances Inc,Materials,Specialty Chemicals,Chemicals,0.2793315366721398
