unique_id,company_name,gicSector,gicSubIndustry,company_pulse,esg_beta,address,exchange,symbol,isin,cusip,securities_type,currency_code
200221,Asia Cement Corporation,Materials,Construction Materials,0.17132166666666665,,"No. 207, Dunhua South Road, Taipei City, Taiwan, 106",New York Stock Exchange,AVNT,US05368V1061,NA,Common Stock,USD
189839,Avery Dennison Corporation,Materials,Paper Packaging,0.31764444444444456,,"207 Goode Avenue, Glendale, CA, United States, 91203",New York Stock Exchange,AVY,US0536111091,053611109,Common Stock,USD
245570,Avient Corp,Materials,Specialty Chemicals,0.6758222222222222,,"33587 Walker Road, Avon Lake, OH, United States, 44012",New York Stock Exchange,AXTA,BMG0750C1082,G0750C108,Common Stock,USD
206711,Axalta Coating Systems Ltd,Materials,Specialty Chemicals,0.35406666666666664,-0.11668707350207945,"Two Commerce Square, Philadelphia, PA, United States, 19103",New York Stock Exchange,BAK,US1055321053,105532105,Common Stock,USD
189990,BASF SE,Materials,Diversified Chemicals,0.27626170276774986,0.19849940888076237,"Carl-Bosch-Strasse 38, Ludwigshafen am Rhein, Germany, 67056",New York Stock Exchange,BALL,US0584981064,NA,Common Stock,USD
193497,BBMG Corporation,Materials,Construction Materials,0.128,,"Global Trade Center No. 36, Beijing, China, 100013", OTC QX Exchange,BASFY,US0552625057,055262505,Common Stock,USD
190602,BHP Group,Materials,Diversified Metals & Mining,0.13237217683607572,0.1965039071352485,"171 Collins Street, Melbourne, VIC, Australia, 3000",New York Stock Exchange,BBL,US05545E2090,05545E209,Common Stock,USD
206604,Balchem Corporation,Materials,Specialty Chemicals,0.4165451724137934,,"52 Sunrise Park Road, New Hampton, NY, United States, 10958",New York Stock Exchange,BCC,US09739D1000,097383103,Common Stock,USD
190817,Ball Corporation,Materials,Metal & Glass Containers,0.3539198461172339,0.06591624203577995,"10 Longs Peak Drive, Broomfield, CO, United States, 80021-2510", NASDAQ Exchnage,BCPC,US0576652004,057665200,Common Stock,USD
191584,Barrick Gold Corporation,Materials,Gold,0.23478518518518518,0.26707787512104897,"Brookfield Place, TD Canada Trust Tower, Toronto, ON, Canada, M5J 2S1",New York Stock Exchange,BERY,US08579W1036,08579W103,Common Stock,USD
